tweet_year,tweet_month,tweet_days,tweet_hour,tweet_day,is_weekend,retweet_count,reply_count,like_count,quote_count,impression_count,engagement
2013,3,21,11.639593908629442,3,0,994,319,301,1,0,392.5
2013,3,22,11.601593625498008,4,0,2517,354,660,0,0,891.9
2013,3,23,11.941354903943378,5,1,425,284,317,3,0,217.20000000000002
2013,3,24,11.200221238938052,6,1,4406,811,2432,21,0,1735.6000000000001
2013,3,25,12.37351443123939,0,0,2786,376,2904,0,0,1201.4
2013,3,26,11.355848434925864,1,0,2381,672,1139,0,0,962.6
2013,3,27,11.503802281368822,2,0,493,211,168,0,0,206.9
2013,3,28,11.214268727705113,3,0,2178,729,590,2,0,859.0
2013,3,29,9.021602160216021,4,0,2996,1097,809,0,0,1199.1000000000001
2013,3,30,10.187687687687689,5,1,645,247,241,1,0,267.4
2013,3,31,11.810657596371883,6,1,3124,787,1251,4,0,1221.3000000000002
2013,4,1,10.837209302325581,0,0,38293,14312,41621,2,0,18513.2
2013,4,2,11.574204946996467,1,0,1004,382,344,0,0,412.0
2013,4,3,13.462610899873257,2,0,2448,4673,1278,2,0,1797.6
2013,4,4,12.050739957716702,3,0,1615,429,555,0,0,625.8
2013,4,5,10.84138403562864,4,0,9648,1016,3569,1,0,3454.9
2013,4,6,11.620015048908954,5,1,7746,1939,6660,6,0,3380.0
2013,4,7,11.158744394618834,6,1,341,283,185,0,0,177.4
2013,4,8,11.492967180174146,0,0,467,329,143,0,0,220.2
2013,4,9,11.905797101449275,1,0,1000,365,376,0,0,410.59999999999997
2013,4,10,14.785816962146622,2,0,2255,545,568,2,0,843.1
2013,4,11,11.238275340393344,3,0,1396,2402,1211,0,0,1020.3
2013,4,12,12.981562774363477,4,0,1484,1143,424,2,0,717.0
2013,4,13,11.78838174273859,5,1,495,291,176,0,0,224.3
2013,4,14,11.35004397537379,6,1,906,298,339,0,0,365.3
2013,4,15,11.622384937238493,0,0,1014,322,249,1,0,393.9
2013,4,16,11.954545454545455,1,0,4954,543,849,0,0,1679.7
2013,4,17,10.668961201501878,2,0,988,740,331,0,0,477.5
2013,4,18,11.337430854333128,3,0,4624,504,726,1,0,1561.0
2013,4,19,10.27404193781634,4,0,1350,351,272,0,0,502.40000000000003
2013,4,20,10.502083333333333,5,1,2790,527,1119,0,0,1054.3
2013,4,21,12.279778393351801,6,1,7279,1302,4956,2,0,2940.5
2013,4,22,10.612462006079028,0,0,3048,881,1407,1,0,1231.6999999999998
2013,4,23,11.619010819165378,1,0,2484,404,914,1,0,917.8000000000001
2013,4,24,11.869809992962702,2,0,2160,2532,2002,0,0,1354.6000000000001
2013,4,25,10.930631868131869,3,0,680,464,786,49,0,395.0
2013,4,26,11.210900473933648,4,0,752,376,273,0,0,328.1
2013,4,27,11.513131313131312,5,1,8415,497,3903,2,0,3015.0
2013,4,28,10.48366606170599,6,1,1002,383,350,0,0,412.2
2013,4,29,12.837738619676946,0,0,9216,3374,15090,10431,0,9121.0
2013,4,30,11.272168118913378,1,0,1182,382,492,1,0,480.6
2013,5,1,10.944554455445545,2,0,2254,508,1072,0,0,884.9999999999999
2013,5,2,12.291970802919709,3,0,1436,485,254,1,0,553.6
2013,5,3,11.162520729684909,4,0,822,441,447,1,0,379.9
2013,5,4,11.086785009861932,5,1,1740,727,940,3,0,762.6
2013,5,5,11.446185997910137,6,1,547,261,225,0,0,238.79999999999998
2013,5,6,10.427677329624478,0,0,908,635,391,3,0,439.7
2013,5,7,11.816939890710383,1,0,3930,1128,1973,5,0,1603.9
2013,5,8,13.221792392005158,2,0,54773,196982,52930,14,0,61126.899999999994
2013,5,9,10.801342281879194,3,0,1649,860,971,11,0,768.1999999999999
2013,5,10,11.502840909090908,4,0,1161,1260,2300,14,0,835.9
2013,5,11,10.849699398797595,5,1,2008,1479,805,0,0,978.7
2013,5,12,11.01991341991342,6,1,697,645,336,0,0,371.7
2013,5,13,11.58254716981132,0,0,556,379,258,0,0,268.4
2013,5,14,11.505307855626327,1,0,781,388,267,0,0,338.6
2013,5,15,9.826036419992251,2,0,3024,887,1173,0,0,1201.8999999999999
2013,5,16,11.391636690647482,3,0,1230,558,489,1,0,529.9
2013,5,17,11.250163291966036,4,0,5691,1461,2848,2,0,2285.1
2013,5,18,10.44126738794436,5,1,4045,476,1095,1,0,1418.6
2013,5,19,11.554156171284635,6,1,1508,832,1050,1,0,724.2
2013,5,20,11.246575342465754,0,0,941,487,384,0,0,418.1
2013,5,21,12.453964194373402,1,0,626,780,360,1,0,380.2
2013,5,22,11.63237139272271,2,0,835,682,349,0,0,421.8
2013,5,23,11.52337164750958,3,0,1183,463,400,0,0,487.5
2013,5,24,12.205449189985272,4,0,1750,539,690,3,0,703.0
2013,5,25,12.445745511319283,5,1,3086,1489,1739,5,0,1399.5
2013,5,26,10.891041162227603,6,1,909,442,488,0,0,409.9
2013,5,27,12.526315789473685,0,0,2440,435,991,0,0,918.0999999999999
2013,5,28,12.301517067003793,1,0,2286,807,888,0,0,936.0
2013,5,29,11.0843537414966,2,0,1063,448,276,1,0,436.5
2013,5,30,12.313829787234043,3,0,1736,526,550,8,0,684.2
2013,5,31,10.960978835978835,4,0,948,420,344,0,0,402.8
2013,6,1,12.446153846153846,5,1,1092,471,396,1,0,461.8
2013,6,2,10.370892018779342,6,1,1065,337,412,1,0,428.5
2013,6,3,11.483940042826552,0,0,1605,866,818,4,0,738.1
2013,6,4,11.064803804994055,1,0,1272,364,405,1,0,495.3
2013,6,5,11.663774403470716,2,0,1737,838,669,1,0,756.0
2013,6,6,11.588986432561851,3,0,2369,790,1336,0,0,1002.3
2013,6,7,11.328584149599287,4,0,1373,631,408,4,0,580.5
2013,6,8,11.874242424242425,5,1,3736,1371,1851,0,0,1580.1
2013,6,9,12.39463886820551,6,1,925,713,663,0,0,486.4
2013,6,10,12.41304347826087,0,0,1432,283,267,0,0,512.9
2013,6,11,12.765139116202946,1,0,1883,321,1556,0,0,784.7
2013,6,12,12.051858254105445,2,0,613,389,314,0,0,293.1
2013,6,13,12.266837169650469,3,0,28659,431,19805,9,0,10668.0
2013,6,14,11.033123028391167,4,0,1684,390,482,0,0,631.4
2013,6,15,11.232845894263217,5,1,1390,397,547,0,0,551.0999999999999
2013,6,16,11.32502596053998,6,1,1311,582,1088,0,0,618.5
2013,6,17,11.982993197278912,0,0,2129,319,270,0,0,729.5
2013,6,18,10.174550299800133,1,0,1497,629,427,2,0,618.4
2013,6,19,11.290923824959481,2,0,2492,732,711,0,0,965.1
2013,6,20,10.99005424954792,3,0,786,446,311,0,0,356.1
2013,6,21,11.488549618320612,4,0,33237,32501,39862,0,0,20457.5
2013,6,22,11.163748712667353,5,1,632,278,369,0,0,282.1
2013,6,23,10.801149425287356,6,1,21020,2783,7708,12,0,7638.2
2013,6,24,12.019718309859154,0,0,743,682,294,1,0,389.1
2013,6,25,11.355072463768115,1,0,1847,617,1474,1,0,825.3
2013,6,26,11.94296577946768,2,0,534,697,272,0,0,326.8
2013,6,27,11.436698717948717,3,0,3024,698,3470,1,0,1394.2
2013,6,28,11.923312883435583,4,0,2310,621,1162,7,0,936.1999999999999
2013,6,29,10.265070921985815,5,1,416,342,276,2,0,221.6
2013,6,30,11.701115241635687,6,1,762,433,284,0,0,343.6
2013,7,1,11.341988130563799,0,0,700,407,376,1,0,329.4
2013,7,2,13.23331463825014,1,0,5830,746,6167,148,0,2574.1
2013,7,3,11.660188457008244,2,0,843,399,272,2,0,360.7
2013,7,4,11.180082987551867,3,0,462,223,141,0,0,197.3
2013,7,5,11.477935054121565,4,0,1163,475,291,1,0,473.4
2013,7,6,10.758885686839577,5,1,1091,319,396,1,0,431.1
2013,7,7,12.19803476946334,6,1,433,315,212,0,0,214.1
2013,7,8,12.38559592096877,0,0,3399,984,2144,1,0,1431.3
2013,7,9,11.368541033434651,1,0,3439,787,1034,3,0,1293.7
2013,7,10,10.972263868065967,2,0,18425,1181,12613,188,0,7100.200000000001
2013,7,11,11.61033634126333,3,0,2535,4461,4733,3,0,2127.2
2013,7,12,11.62532751091703,4,0,692,288,163,0,0,281.5
2013,7,13,9.941238195173138,5,1,1585,490,981,0,0,671.6
2013,7,14,11.523111612175875,6,1,13848,30601,4703,2,0,10745.7
2013,7,15,11.743820224719101,0,0,3680,1184,2178,3,0,1559.8
2013,7,16,11.419302514193026,1,0,5950,688,1406,2,0,2064.0
2013,7,17,12.13888888888889,2,0,981,404,329,0,0,408.0
2013,7,18,11.415094339622641,3,0,1934,666,797,0,0,793.0999999999999
2013,7,19,11.193823915900131,4,0,1212,379,390,0,0,478.40000000000003
2013,7,20,10.567914438502674,5,1,676,361,387,0,0,313.7
2013,7,21,11.921052631578947,6,1,585,737,263,1,0,349.6
2013,7,22,11.5608214849921,0,0,1024,526,415,1,0,454.3
2013,7,23,11.67820324005891,1,0,6364,6197,6700,7,0,3821.3999999999996
2013,7,24,10.416728902165795,2,0,1449,689,462,0,0,618.6999999999999
2013,7,25,9.435160427807487,3,0,1203,462,591,0,0,512.4
2013,7,26,11.35284139100933,4,0,3887,2076,1812,2,0,1763.3000000000002
2013,7,27,10.62511893434824,5,1,1179,283,277,0,0,438.0
2013,7,28,10.627555555555556,6,1,4127,1720,3123,40,0,1910.4
2013,7,29,11.708609271523178,0,0,915,395,297,0,0,383.2
2013,7,30,11.023761031907672,1,0,1049,396,438,0,0,437.7
2013,7,31,11.020942408376964,2,0,3657,2406,7332,2,0,2312.2999999999997
2013,8,1,12.003477051460361,3,0,1507,984,557,1,0,705.0
2013,8,2,11.14138349514563,4,0,5594,856,2122,2,0,2062.4
2013,8,3,10.86922406277245,5,1,2824,855,1590,0,0,1177.2
2013,8,4,10.337178349600709,6,1,3405,469,1682,1,0,1283.9
2013,8,5,12.424484364604124,0,0,17970,27302,5661,2,0,11418.3
2013,8,6,10.72431397574984,1,0,950,442,356,0,0,409.0
2013,8,7,11.128142741281428,2,0,515,397,375,0,0,271.4
2013,8,8,10.797637795275591,3,0,668,404,300,0,0,311.2
2013,8,9,11.066231343283581,4,0,715,324,424,0,0,321.7
2013,8,10,11.082690187431092,5,1,303,279,194,0,0,166.1
2013,8,11,11.559217301750772,6,1,5385,1330,2359,0,0,2117.4
2013,8,12,10.717225609756097,0,0,4367,3418,2465,4,0,2241.8
2013,8,13,10.428307123034228,1,0,9199,386,312,0,0,2868.1
2013,8,14,10.922374429223744,2,0,1164,573,735,1,0,537.7
2013,8,15,11.730098559514785,3,0,1891,1179,2015,0,0,1004.6
2013,8,16,10.265460030165913,4,0,709,470,548,0,0,361.5
2013,8,17,10.687054026503567,5,1,579,334,260,0,0,266.5
2013,8,18,11.182682154171067,6,1,4408,538,2946,0,0,1724.6
2013,8,19,10.5141065830721,0,0,1202,521,701,2,0,535.7
2013,8,20,10.192386131883072,1,0,1128,408,499,1,0,470.3
2013,8,21,11.146510020732551,2,0,1371,507,601,0,0,572.8
2013,8,22,11.016611295681063,3,0,8121,2071,11557,1,0,4006.6
2013,8,23,11.039613526570049,4,0,1515,3825,724,0,0,1291.9
2013,8,24,11.452830188679245,5,1,6101,1353,5462,5,0,2649.1
2013,8,25,11.701507537688443,6,1,3900,897,1574,0,0,1506.8
2013,8,26,12.061787072243346,0,0,6043,711,2228,2,0,2178.7
2013,8,27,10.909892262487757,1,0,1039,520,279,1,0,444.0
2013,8,28,11.564814814814815,2,0,1163,355,617,0,0,481.6
2013,8,29,12.180223285486443,3,0,7568,7696,8603,88,0,4705.1
2013,8,30,11.316014234875444,4,0,4497,4941,8431,8,0,3183.6000000000004
2013,8,31,10.887914230019494,5,1,511,393,201,0,0,252.0
2013,9,1,11.217486338797814,6,1,3061,1515,2231,0,0,1444.4
2013,9,2,11.462166172106825,0,0,749,486,536,0,0,375.5
2013,9,3,11.476374903175833,1,0,1199,422,400,0,0,484.1
2013,9,4,11.112977099236641,2,0,1928,360,293,1,0,680.1
2013,9,5,11.607356715141146,3,0,7664,1278,5404,2911,0,4259.6
2013,9,6,11.774706867671691,4,0,1464,390,664,0,0,583.6
2013,9,7,11.393018018018019,5,1,435,277,194,0,0,205.3
2013,9,8,11.142739950779328,6,1,652,274,319,1,0,282.7
2013,9,9,11.420027816411682,0,0,16292,2519,30479,1279,0,8950.900000000001
2013,9,10,11.042181818181819,1,0,981,330,348,0,0,395.09999999999997
2013,9,11,10.692640692640692,2,0,689,556,407,1,0,359.0
2013,9,12,10.954545454545455,3,0,1157,487,594,0,0,503.9
2013,9,13,11.292244897959185,4,0,4089,967,2988,5,0,1720.9
2013,9,14,11.3076181292189,5,1,1011,292,387,0,0,400.4
2013,9,15,10.835326586936523,6,1,1675,2351,794,1,0,1052.5
2013,9,16,11.083700440528634,0,0,883,390,489,0,0,391.8
2013,9,17,11.901974132062628,1,0,2827,1290,1419,0,0,1248.0
2013,9,18,11.28109756097561,2,0,2453,692,861,1,0,960.8000000000001
2013,9,19,10.010223642172525,3,0,1228,535,405,0,0,515.9
2013,9,20,12.11643379906853,4,0,4244,975,1152,24,0,1593.0
2013,9,21,10.7720151269584,5,1,2157,413,676,0,0,797.3
2013,9,22,9.935086277732129,6,1,1036,471,416,0,0,446.6
2013,9,23,11.358259687287559,0,0,693,329,357,0,0,309.4
2013,9,24,11.391840607210627,1,0,1122,629,514,0,0,513.8
2013,9,25,11.791274593669803,2,0,1036,292,412,0,0,410.40000000000003
2013,9,26,11.515953307392996,3,0,2330,850,1296,0,0,998.6
2013,9,27,10.772464962901896,4,0,2822,542,1446,2,0,1100.4
2013,9,28,11.016920473773265,5,1,4287,829,1826,2,0,1635.3
2013,9,29,11.797089733225546,6,1,6404,1287,5065,3,0,2686.3
2013,9,30,14.051829268292684,0,0,16347,31784,12993,111,0,12604.6
2013,10,1,11.083710407239819,1,0,1316,360,435,2,0,511.1
2013,10,2,11.306844547563806,2,0,2046,532,1095,0,0,829.7
2013,10,3,12.200115340253749,3,0,1381,716,852,1,0,643.1
2013,10,4,10.306620209059233,4,0,1284,374,580,0,0,518.0
2013,10,5,11.876198779424586,5,1,922,390,620,0,0,416.6
2013,10,6,11.12564543889845,6,1,1802,429,567,0,0,683.1
2013,10,7,11.360749185667752,0,0,2445,880,2386,2,0,1148.9
2013,10,8,10.895666131621187,1,0,2265,861,1025,0,0,954.2
2013,10,9,12.142537313432836,2,0,1800,1364,813,0,0,894.0999999999999
2013,10,10,11.523033309709426,3,0,11258,2128,6918,16,0,4501.2
2013,10,11,10.774741955069825,4,0,1023,552,608,0,0,478.1
2013,10,12,11.498366013071895,5,1,656,260,854,0,0,334.2
2013,10,13,11.548123980424144,6,1,5865,2270,3781,29,0,2603.2
2013,10,14,11.104247104247104,0,0,1065,456,685,0,0,479.2
2013,10,15,11.193956430077302,1,0,664,293,266,1,0,284.8
2013,10,16,10.514376996805112,2,0,540,505,433,4,0,307.9
2013,10,17,10.946714031971581,3,0,519,349,396,0,0,265.1
2013,10,18,12.053294573643411,4,0,540,325,231,0,0,250.1
2013,10,19,10.92548596112311,5,1,858,640,820,6,0,469.8
2013,10,20,10.608856088560886,6,1,588,338,321,1,0,276.5
2013,10,21,11.001855287569573,0,0,854,361,305,0,0,358.90000000000003
2013,10,22,12.490761271249076,1,0,1128,527,506,8,0,497.6
2013,10,23,11.671214188267394,2,0,4273,711,3846,3,0,1809.9
2013,10,24,11.854215918045705,3,0,4141,318,1541,6,0,1462.4
2013,10,25,11.285014691478942,4,0,970,403,528,1,0,424.8
2013,10,26,10.74520856820744,5,1,438,280,300,1,0,217.8
2013,10,27,11.958041958041958,6,1,4706,523,213,0,0,1537.7
2013,10,28,11.738434163701067,0,0,618,305,586,0,0,305.0
2013,10,29,11.703703703703704,1,0,776,300,326,0,0,325.4
2013,10,30,10.743298131600325,2,0,1134,340,530,3,0,462.40000000000003
2013,10,31,12.349726775956285,3,0,1123,272,400,0,0,431.3
2013,11,1,11.223894637817498,4,0,1181,691,659,1,0,558.8
2013,11,2,11.020661157024794,5,1,6165,4241,9512,1,0,3649.3
2013,11,3,10.59604190919674,6,1,501,256,305,0,0,232.0
2013,11,4,11.034739454094293,0,0,1945,467,954,1,0,772.6999999999999
2013,11,5,11.803530314658481,1,0,1307,452,628,1,0,545.7
2013,11,6,11.260906757912746,2,0,1328,465,708,2,0,563.0
2013,11,7,11.436440677966102,3,0,637,346,364,0,0,296.7
2013,11,8,11.241890639481001,4,0,1415,583,2797,2,0,821.6
2013,11,9,11.038539553752535,5,1,82306,24174,101432,2,0,39670.600000000006
2013,11,10,11.35287356321839,6,1,951,453,642,0,0,440.1
2013,11,11,11.947280334728033,0,0,604,377,367,0,0,293.3
2013,11,12,11.408750719631549,1,0,2828,726,1697,3,0,1164.5
2013,11,13,11.00724233983287,2,0,2593,531,1107,0,0,994.8
2013,11,14,12.002758620689654,3,0,1952,629,1107,0,0,822.1
2013,11,15,11.049295774647888,4,0,1153,505,537,4,0,502.2
2013,11,16,11.092406221408966,5,1,569,248,301,0,0,250.4
2013,11,17,11.095628415300547,6,1,1260,311,476,0,0,487.8
2013,11,18,12.287759484609879,0,0,2026,1247,1862,2,0,1044.2
2013,11,19,10.880090497737557,1,0,1430,392,515,4,0,560.5
2013,11,20,11.464230171073094,2,0,4751,796,4705,0,0,2055.0
2013,11,21,11.675825973176316,3,0,2735,580,690,0,0,1005.5
2013,11,22,11.036194895591647,4,0,1687,479,686,2,0,671.3
2013,11,23,9.475982532751091,5,1,1433,404,374,0,0,548.1
2013,11,24,10.23030303030303,6,1,877,394,513,0,0,393.2
2013,11,25,11.562672556598564,0,0,1158,487,823,0,0,527.1
2013,11,26,11.338226658837346,1,0,1334,597,800,3,0,600.8
2013,11,27,11.844444444444445,2,0,860,385,655,0,0,400.5
2013,11,28,10.924904214559387,3,0,1369,820,1426,0,0,717.3
2013,11,29,11.135755258126196,4,0,5787,377,1899,3,0,2002.6000000000001
2013,11,30,11.266304347826088,5,1,1159,370,1054,6,0,529.5
2013,12,1,11.446259673258814,6,1,6147,1307,6068,2,0,2713.1
2013,12,2,12.689763779527558,0,0,2996,437,905,0,0,1076.7
2013,12,3,11.111761263897016,1,0,12228,711,6894,5,0,4502.0
2013,12,4,11.23076923076923,2,0,3351,673,3118,0,0,1451.7
2013,12,5,11.848139711465452,3,0,1219,490,1320,4,0,597.3
2013,12,6,11.85,4,0,1653,821,2205,1,0,881.0
2013,12,7,10.29688972667295,5,1,118257,43326,144074,12,0,58554.5
2013,12,8,12.30451415455241,6,1,613,342,364,0,0,288.7
2013,12,9,11.671319796954315,0,0,1594,965,2075,0,0,878.7
2013,12,10,11.64864864864865,1,0,1040,362,1753,1,0,560.1
2013,12,11,12.180040458530007,2,0,1419,385,853,0,0,588.0
2013,12,12,11.63888888888889,3,0,4130,531,1549,2,0,1500.9
2013,12,13,11.010329244673983,4,0,2706,718,1020,0,0,1057.3999999999999
2013,12,14,10.895292207792208,5,1,4346,1051,4546,17,0,1975.3999999999999
2013,12,15,12.714750542299349,6,1,10400,858,1830,0,0,3474.6
2013,12,16,11.043433827286663,0,0,1394,559,903,1,0,620.7
2013,12,17,11.010620458356623,1,0,8890,1045,2249,1,0,3101.3
2013,12,18,11.46987951807229,2,0,7011,1036,9804,1,0,3291.2999999999997
2013,12,19,11.002717391304348,3,0,1505,650,1382,0,0,719.7
2013,12,20,10.65533522190746,4,0,3798,5371,7808,0,0,2994.4
2013,12,21,11.263218390804598,5,1,2330,544,2656,11,0,1077.8
2013,12,22,12.153652392947103,6,1,687,204,326,2,0,280.3
2013,12,23,12.529499626587006,0,0,1548,401,825,0,0,627.1
2013,12,24,10.55462885738115,1,0,687,280,367,3,0,300.0
2013,12,25,10.34943820224719,2,0,931,213,303,0,0,352.2
2013,12,26,10.965714285714286,3,0,1101,331,567,0,0,453.2
2013,12,27,11.35797342192691,4,0,1603,387,936,0,0,651.9
2013,12,28,10.195054945054945,5,1,902,331,719,0,0,408.7
2013,12,29,10.829767441860465,6,1,825,300,299,1,0,337.8
2013,12,30,11.110576923076923,0,0,1152,494,724,0,0,516.8
2013,12,31,9.922378199834847,1,0,518,828,372,7,0,361.0
2014,1,1,9.730978260869565,2,0,101,202,129,0,0,83.60000000000001
2014,1,2,11.260579064587974,3,0,2254,357,587,0,0,806.3
2014,1,3,11.521444695259593,4,0,2351,249,754,0,0,830.5
2014,1,4,10.712727272727273,5,1,1921,118,209,0,0,620.8
2014,1,5,10.383877159309021,6,1,1056,170,342,0,0,385.0
2014,1,6,17.183271832718326,0,0,2221,333,767,0,0,809.6
2014,1,7,11.634782608695652,1,0,3754,732,1552,2,0,1428.6
2014,1,8,11.09796672828096,2,0,1947,545,723,0,0,765.4
2014,1,9,12.055813953488371,3,0,2040,517,844,0,0,799.8
2014,1,10,8.688392530208715,4,0,2959,489,885,1,0,1074.4
2014,1,11,9.643527204502814,5,1,1943,381,1130,0,0,772.1
2014,1,12,11.358117326057299,6,1,1883,1023,2006,0,0,970.0999999999999
2014,1,13,11.317147192716236,0,0,6357,1845,6183,6,0,2896.7999999999997
2014,1,14,12.025956284153006,1,0,7138,742,10557,1,0,3345.9
2014,1,15,10.84990253411306,2,0,1756,418,1065,2,0,717.7
2014,1,16,12.223790322580646,3,0,3906,544,1385,1,0,1419.5
2014,1,17,10.056590257879655,4,0,16910,1179,23148,2,0,7624.4
2014,1,18,10.682815356489945,5,1,2585,555,5143,0,0,1400.8000000000002
2014,1,19,11.138666666666667,6,1,1296,386,504,0,0,516.4
2014,1,20,11.799007444168735,0,0,2570,1116,3572,0,0,1351.3999999999999
2014,1,21,11.98087818696884,1,0,6250,2393,6838,20,0,3045.4
2014,1,22,12.22427293064877,2,0,1989,1091,1458,1,0,961.1
2014,1,23,11.190927555856465,3,0,3096,599,2014,3,0,1251.2
2014,1,24,10.544655929721815,4,0,667,373,339,2,0,309.4
2014,1,25,10.151798561151079,5,1,52719,17653,106917,467,0,30224.8
2014,1,26,10.783832879200727,6,1,1110,348,400,1,0,443.0
2014,1,27,12.77319587628866,0,0,17736,2181,12710,20,0,7036.0
